Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,44,16,F:System.Windows.Threading.DispatcherPriority.ApplicationIdle,,,,,"_ = new DispatcherTimer(                      TimeSpan.FromSeconds(0),                      DispatcherPriority.ApplicationIdle,                      DispatcherTimer_Tick,                      System.Windows.Application.Current.Dispatcher);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,44,16,M:System.TimeSpan.FromSeconds(System.Double),,,,,"_ = new DispatcherTimer(                      TimeSpan.FromSeconds(0),                      DispatcherPriority.ApplicationIdle,                      DispatcherTimer_Tick,                      System.Windows.Application.Current.Dispatcher);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,44,16,T:System.Windows.Threading.DispatcherTimer,,,,,"_ = new DispatcherTimer(                      TimeSpan.FromSeconds(0),                      DispatcherPriority.ApplicationIdle,                      DispatcherTimer_Tick,                      System.Windows.Application.Current.Dispatcher);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,44,16,"M:System.Windows.Threading.DispatcherTimer.#ctor(System.TimeSpan,System.Windows.Threading.DispatcherPriority,System.EventHandler,System.Windows.Threading.Dispatcher)",,,,,"_ = new DispatcherTimer(                      TimeSpan.FromSeconds(0),                      DispatcherPriority.ApplicationIdle,                      DispatcherTimer_Tick,                      System.Windows.Application.Current.Dispatcher);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,40,12,T:System.Windows.Input.Cursors,,,,,Mouse.OverrideCursor = busy ? Cursors.Wait : null;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,40,12,T:System.Windows.Input.Cursor,,,,,Mouse.OverrideCursor = busy ? Cursors.Wait : null;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,40,12,P:System.Windows.Input.Cursors.Wait,,,,,Mouse.OverrideCursor = busy ? Cursors.Wait : null;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,40,12,T:System.Windows.Input.Mouse,,,,,Mouse.OverrideCursor = busy ? Cursors.Wait : null;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,40,12,T:System.Windows.Input.Cursor,,,,,Mouse.OverrideCursor = busy ? Cursors.Wait : null;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,SimpleImageResizer\SimpleImageResizer.csproj,File,SimpleImageResizer\Services\UserInterface.cs,40,12,P:System.Windows.Input.Mouse.OverrideCursor,,,,,Mouse.OverrideCursor = busy ? Cursors.Wait : null;
